last update 2025-12-02,,,,,,,,,
,,,,,,,,,
매체ID,매체이름,매체URL,네이버,파트너,검색포탈,검색영역포함,콘텐츠영역포함,PC영역포함,모바일영역포함
27567,뽐뿌 - PC,http://www.ppomppu.co.kr,,O,,O,O,O,
49745,뽐뿌 - 모바일,http://m.ppomppu.co.kr,,O,,O,O,,O
69559,사람인 - 모바일,http://m.saramin.co.kr,,O,,O,O,,O
185344,사람인-PC,http://www.saramin.co.kr,,O,,O,O,O,
69555,샵마넷 - PC,http://www.shopma.net,,O,,O,O,O,
69561,샵마넷 - 모바일,http://m.shopma.net,,O,,O,,,O
69557,샵오픈,http://www.shopopen.co.kr,,O,,O,O,O,
779437,세리에매니아-모바일,https://serieamania.com/,,O,,,O,,O
156872,셀잇 - PC,https://www.withsellit.com,,O,,O,,O,
156873,셀잇 - 모바일,https://www.withsellit.com,,O,,O,,,O
242241,속닥-모바일,http://www.socdoc.co.kr,,O,,O,O,,O
141763,쇼킹딜 - 모바일,http://deal.11st.co.kr/html/nc/deal/main.html,,O,,O,,,O
62766,수다닷컴,http://www.sudadot.com,,O,,,O,O,
386648,순위닷-모바일,http://www.soonwidot.co.kr,,O,,O,O,,O
417067,시럽월렛-모바일,m.syrup.co.kr,,O,,O,O,,O
151175,씽크존 - PC,http://www.thinkzon.com,,O,,O,O,O,
20545,아이베이비 - PC,http://www.i-baby.co.kr,,O,,O,O,O,
398851,안랩V3-PC,www.ahnlab.com,,O,,,O,O,
24087,알바몬,http://www.albamon.com,,O,,O,,O,
238734,알바몬-모바일,http://m.albamon.com,,O,,O,O,,O
15119,알바천국 - PC,http://www.alba.co.kr,,O,,O,,O,
49746,알바천국 - 모바일,http://m.alba.co.kr,,O,,O,,,O
791889,에누리-PC,https://www.enuri.com,,O,,O,O,O,
791888,에누리-모바일,https://m.enuri.com,,O,,O,O,,O
479286,에브리타임-모바일,https://everytime.kr/,,O,,O,O,,O
137280,에펨코리아,http://www.fmkorea.com/,,O,,O,O,O,
137281,에펨코리아 - 모바일,http://m.fmkorea.com/,,O,,O,O,,O
79387,여행오키,http://touroki.co.kr/,,O,,O,O,O,
502365,열달후에-모바일,www.after10m.com,,O,,,O,,O
38193,예스폼,http://www.yesform.com,,O,,O,O,O,
70389,오늘의유머,http://www.todayhumor.co.kr,,O,,O,,O,
443152,오락-모바일,https://www.skplanet.com/business/marketing?tab03,,O,,O,O,,O
1526,옥션,http://www.auction.co.kr,,O,,O,,O,
131018,옥션 - 모바일,http://m.auction.co.kr,,O,,O,,,O
131268,옥션중고장터 - 모바일,http://used.mobile.auction.co.kr,,O,,O,,,O
162341,와글바글,www.waglebagle.net,,O,,O,O,O,
689351,웃긴대학-PC,https://web.humoruniv.com,,O,,,O,O,
49363,웃긴대학-모바일,http://m.humoruniv.com,,O,,O,O,,O
58826,이엔지잡,http://www.engjob.co.kr,,O,,O,O,O,
37131,이지데이 - PC,http://www.ezday.co.kr,,O,,,O,O,
49747,이지데이 - 모바일,http://m.ezday.co.kr,,O,,,O,,O
417064,이토랜드-PC,http://www.etoland.co.kr,,O,,O,O,O,
417065,이토랜드-모바일,http://www.etoland.co.kr/plugin/mobile,,O,,O,O,,O
484086,인스티즈-모바일,http://www.instiz.net,,O,,O,O,,O
38197,인크루트 - PC,http://www.incruit.com,,O,,O,O,O,
56346,인크루트 - 모바일,http://m.incruit.com,,O,,O,O,,O
16333,인터넷교차로,http://www.icross.co.kr,,O,,O,O,O,
38628,일간스포츠,http://isplus.joins.com,,O,,,O,O,
28552,잡코리아 - PC,http://www.jobkorea.co.kr,,O,,O,O,O,
51271,잡코리아 - 모바일,http://m.jobkorea.co.kr,,O,,O,,,O
291244,중고나라-모바일,https://web.joongna.com/,,O,,O,O,,O
15604,지식로그,http://www.jisiklog.com,,O,,O,O,O,
291245,최저가마켓-모바일,http://cjgmarket.co.kr/shop,,O,,O,O,,O
645386,침하하-모바일,https://chimhaha.net/,,O,,,O,,O
666914,캐시닥-모바일,https://cashdoc.me/,,O,,,O,,O
756085,캐시슬라이드-모바일,https://site.cashslide.co.kr/,,O,,,O,,O
727930,캐시워크-모바일,https://cashwalk1.com/,,O,,O,O,,O
655426,캐시워크뉴스-모바일,https://cashwalk.com/,,O,,,O,,O
282741,캐시피드-모바일,https://www.cashfeed.co.k,,O,,,O,,O
762004,케어파트너-모바일,https://www.carepartner.kr/,,O,,,O,,O
400341,코리아닷컴-PC,https://www.korea.com,,O,,O,,O,
598347,콴다-모바일,https://tutor.qanda.ai/,,O,,,O,,O
20546,쿠차,http://www.coocha.co.kr,,O,,O,,O,
172112,쿠차 - 모바일,http://m.coocha.co.kr/main.do,,O,,O,,,O
39237,쿠폰모아,http://www.couponmoa.com,,O,,O,,O,
190274,쿠폰모아-모바일,http://m.couponmoa.com,,O,,O,,,O
19369,클리앙,http://www.clien.net,,O,,O,O,O,
137283,클리앙 - 모바일,http://m.clien.net/cs3/,,O,,O,O,,O
15122,키드키즈,http://www.kidkids.net,,O,,O,O,O,
785950,키즈노트-모바일,https://www.kidsnote.com/,,O,,,O,,O
242240,키즈맘-PC,https://kizmom.hankyung.com,,O,,O,O,O,
242239,텐아시아-PC ,http://tenasia.hankyung.com,,O,,O,O,O,
484085,티맵-모바일,http://www.tmap.co.kr/,,O,,O,,,O
735234,티스토리-PC,www.tistory.com,,O,,,O,O,
735235,티스토리-모바일,m.tistory.com,,O,,,O,,O
69558,패션워크,http://www.fashionwork.co.kr,,O,,O,O,O,
429047,풀빵닷컴-모바일,http://www.pullbbang.com/,,O,,,O,,O
762003,플래텀-PC,https://platum.kr/,,O,,,O,,O
484542,한겨레신문-모바일,https://m.hani.co.kr/,,O,,O,,,O
20049,한경닷컴 - PC,http://www.hankyung.com/,,O,,,O,O,
51591,한경닷컴 - 모바일,http://m.hankyung.com,,O,,,O,,O
106391,해피캠퍼스 - PC,http://www.happycampus.com/,,O,,O,O,O,
106392,해피캠퍼스 - 모바일,http://m.happycampus.com,,O,,O,O,,O
156874,해피학술 - PC,http://www.happyhaksul.com,,O,,O,O,O,
417070,행복쇼핑-PC,http://www.pping.kr,,O,,O,O,O,
417071,행복쇼핑-모바일,https://m.pping.kr/,,O,,O,O,,O
498105,헬로마켓-모바일,m.hellomarket.com,,O,,,O,,O
49362,호텔모아,http://www.hotelmoa.com,,O,,O,O,O,
